type_document,categorie_recherche,numero,annee,objet,categorie,service_responsable,zone,mode_passation,budget_estime_mad,montant_attribue_mad,date_publication,date_limite,statut,attributaire,priorite,nature_donnees
marché public,marchés publics,MP-2024-011,2024,Travaux de captage et de conduite,Travaux hydrauliques,Service irrigation,Ouarzazate,Consultation,3175000,2797445,2024-09-01,2024-09-18,Attribué,Valley Démo Maintenance 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-012,2024,Réhabilitation d'un réseau d'irrigation,Irrigation,Service maintenance,Ouarzazate,Appel d'offres simplifié,5550000,5489165,2024-05-15,2024-06-08,Clôturé,Agri Démo Maroc 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-013,2024,Fourniture d'équipements de démonstration agricole,Équipements agricoles,Service études,Zagora,Appel d'offres ouvert,925000,731240,2024-10-24,2024-11-25,Clôturé,Oasis Démo Ingénierie,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-014,2024,Acquisition de matériel agricole,Équipements agricoles,Service irrigation,Zagora,Appel d'offres ouvert,3150000,2833840,2024-10-03,2024-11-08,Attribué,Terroir Démo Services 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-015,2024,Travaux de captage et de conduite,Travaux hydrauliques,Service logistique,Tinghir,Appel d'offres ouvert,3200000,2947375,2024-11-23,2024-12-18,Attribué,Kasbah Démo Construction,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-016,2024,Aménagement d'espaces de stockage agricole,Aménagement rural,Service irrigation,Ouarzazate,Appel d'offres simplifié,1075000,898368,2024-10-19,2024-11-06,Clôturé,Green Démo Agriculture 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-017,2024,Construction d'ouvrages de protection hydraulique,Travaux hydrauliques,Service logistique,Tinghir,Appel d'offres ouvert,4000000,3669340,2024-08-18,2024-09-24,Clôturé,Valley Démo Maintenance 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-018,2024,Maintenance préventive des installations,Maintenance,Service équipements,Tinghir,Appel d'offres ouvert,2125000,1751493,2024-02-24,2024-03-27,Attribué,Data Démo Maroc 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-019,2024,Fourniture de serveurs et stockage,Informatique,Service développement agricole,Tinghir,Appel d'offres ouvert,3675000,3461611,2024-02-21,2024-03-20,Attribué,Drâa Démo Travaux 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-020,2024,Fourniture de matériel de conditionnement,Équipements agricoles,Service maintenance,Agdz,Appel d'offres ouvert,2050000,1757947,2024-02-03,2024-03-19,Clôturé,Infra Démo Sud 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-021,2024,Fourniture de consommables et matériel logistique,Logistique,Service des marchés,Tinghir,Appel d'offres simplifié,3325000,3138216,2024-01-12,2024-02-02,Clôturé,Sahara Démo Équipements 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-022,2024,Fourniture d'équipements de démonstration agricole,Équipements agricoles,Service équipements,Zagora,Appel d'offres simplifié,4400000,4173265,2024-01-06,2024-02-13,Clôturé,Agri Démo Maroc 2,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-023,2024,Entretien des bâtiments administratifs,Maintenance,Service irrigation,Skoura,Appel d'offres ouvert,6025000,5705810,2024-08-08,2024-08-29,Attribué,Green Démo Agriculture 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-024,2024,Acquisition de postes informatiques,Informatique,Service informatique,Skoura,Appel d'offres simplifié,3700000,3196550,2024-05-03,2024-06-17,Attribué,Green Démo Agriculture 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-025,2024,Fourniture et pose d'équipements d'irrigation localisée,Irrigation,Service études,Zagora,Consultation,7775000,7348540,2024-05-02,2024-05-20,Clôturé,Agri Démo Maroc 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-026,2024,Travaux de captage et de conduite,Travaux hydrauliques,Service informatique,Tinghir,Appel d'offres ouvert,7025000,6566814,2024-07-01,2024-08-01,Clôturé,Hydro Démo Conseil 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-027,2024,Mission d'audit et d'accompagnement technique,Études et assistance technique,Service irrigation,Boumalne-Dadès,Appel d'offres simplifié,1725000,1529205,2024-10-11,2024-11-16,Clôturé,Build Démo Plus,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-028,2024,Mission d'audit et d'accompagnement technique,Études et assistance technique,Service études,Agdz,Appel d'offres ouvert,5000000,4082728,2024-04-14,2024-05-20,Clôturé,Nomad Démo Transport 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-029,2024,Location de véhicules pour missions de terrain,Logistique,Service études,Tinghir,Appel d'offres ouvert,4250000,3917997,2024-07-19,2024-08-22,Clôturé,Kasbah Démo Construction 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-030,2024,Acquisition de matériel agricole,Équipements agricoles,Service études,Agdz,Consultation,1325000,1098852,2024-11-20,2024-12-15,Clôturé,Kasbah Démo Construction 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-031,2024,Renouvellement d'équipements réseau,Informatique,Service équipements,Ouarzazate,Appel d'offres ouvert,1075000,980669,2024-04-16,2024-05-20,Clôturé,Terroir Démo Services 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-032,2024,Acquisition de mobilier de bureau,Logistique,Service maintenance,Zagora,Appel d'offres ouvert,1500000,1225404,2024-11-23,2024-12-08,Clôturé,Smart Démo Systems,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-033,2024,Réhabilitation d'un réseau d'irrigation,Irrigation,Service irrigation,Skoura,Appel d'offres ouvert,7300000,7060555,2024-08-22,2024-09-22,Clôturé,Kasbah Démo Construction 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-034,2024,Travaux d'amélioration de l'accès aux exploitations,Aménagement rural,Service développement agricole,Skoura,Appel d'offres simplifié,6800000,5696125,2024-04-21,2024-05-14,Clôturé,Aqua Démo Engineering,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-035,2024,Entretien des bâtiments administratifs,Maintenance,Service études,Tinghir,Appel d'offres simplifié,2075000,1685084,2024-09-03,2024-09-22,Attribué,Tafilalet Démo Solutions 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-036,2024,Travaux de captage et de conduite,Travaux hydrauliques,Service maintenance,Tinghir,Consultation,2775000,2691794,2024-08-14,2024-08-30,Clôturé,Tafilalet Démo Solutions 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-037,2024,Acquisition de mobilier de bureau,Logistique,Service des marchés,Tinghir,Appel d'offres simplifié,7125000,5887481,2024-07-14,2024-08-15,Clôturé,Nomad Démo Transport 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-038,2024,Réparation et entretien de véhicules de service,Maintenance,Service développement agricole,Ouarzazate,Appel d'offres simplifié,5325000,4676159,2024-06-22,2024-07-28,Clôturé,Infra Démo Sud 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-039,2024,Fourniture de matériel de pompage,Irrigation,Service des marchés,Ouarzazate,Consultation,6050000,5200651,2024-07-05,2024-08-16,Attribué,Terroir Démo Services,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-040,2024,Aménagement d'espaces de stockage agricole,Aménagement rural,Service logistique,Skoura,Appel d'offres simplifié,1175000,1049601,2024-07-09,2024-08-19,Clôturé,Hydro Démo Conseil 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-041,2024,Acquisition de postes informatiques,Informatique,Service des marchés,Ouarzazate,Appel d'offres ouvert,2100000,1933231,2024-04-01,2024-05-05,Attribué,Réseau Démo Technologies 2,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-042,2024,Aménagement d'espaces de stockage agricole,Aménagement rural,Service logistique,Zagora,Consultation,1600000,1572146,2024-10-24,2024-11-30,Clôturé,Réseau Démo Technologies,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-043,2024,Modernisation d'ouvrages d'irrigation,Irrigation,Service maintenance,Skoura,Consultation,8175000,7702656,2024-04-03,2024-05-06,Attribué,Tafilalet Démo Solutions 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-044,2024,Modernisation d'ouvrages d'irrigation,Irrigation,Service maintenance,Boumalne-Dadès,Appel d'offres simplifié,4500000,,2024-02-17,2024-03-23,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-045,2024,Aménagement de pistes rurales,Aménagement rural,Service maintenance,Tinghir,Consultation,5700000,5601672,2024-08-23,2024-09-11,Attribué,Infra Démo Sud 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-046,2024,Travaux d'infrastructure de proximité,Aménagement rural,Service maintenance,Boumalne-Dadès,Consultation,3275000,2746332,2024-05-11,2024-06-22,Clôturé,Sud Démo Informatique,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-047,2024,Maintenance et support du parc informatique,Informatique,Service maintenance,Tinghir,Appel d'offres ouvert,6375000,5318369,2024-08-11,2024-08-31,Attribué,Valley Démo Maintenance 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-048,2024,Maintenance préventive des installations,Maintenance,Service informatique,Ouarzazate,Appel d'offres ouvert,3225000,2997595,2024-07-16,2024-08-17,Clôturé,Drâa Démo Travaux 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-049,2024,Fourniture et pose d'équipements d'irrigation localisée,Irrigation,Service études,Zagora,Appel d'offres simplifié,7575000,6753064,2024-04-10,2024-05-16,Attribué,Aqua Démo Engineering 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2024-050,2024,Étude de faisabilité d'un projet agricole,Études et assistance technique,Service développement agricole,Tinghir,Appel d'offres simplifié,2600000,2320581,2024-05-08,2024-05-26,Attribué,Hydro Démo Conseil 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-051,2025,Renouvellement d'équipements réseau,Informatique,Service développement agricole,Tinghir,Consultation,3750000,,2025-10-17,2025-11-20,Annulé,,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-052,2025,Entretien des bâtiments administratifs,Maintenance,Service logistique,Zagora,Appel d'offres simplifié,1750000,1568359,2025-01-23,2025-02-24,Attribué,Oasis Démo Ingénierie,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-053,2025,Aménagement de pistes rurales,Aménagement rural,Service des marchés,Agdz,Appel d'offres simplifié,4500000,3748592,2025-08-16,2025-09-14,Attribué,Oasis Démo Ingénierie,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-054,2025,Travaux de réhabilitation d'un canal principal,Travaux hydrauliques,Service maintenance,Skoura,Appel d'offres ouvert,825000,741011,2025-10-21,2025-11-26,Attribué,Valley Démo Maintenance 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-055,2025,Construction d'ouvrages de protection hydraulique,Travaux hydrauliques,Service irrigation,Agdz,Appel d'offres simplifié,8050000,6922029,2025-10-20,2025-11-29,Attribué,Infra Démo Sud 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-056,2025,Réparation et entretien de véhicules de service,Maintenance,Service études,Agdz,Consultation,1400000,,2025-01-20,2025-03-06,Annulé,,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-057,2025,Fourniture de serveurs et stockage,Informatique,Service irrigation,Zagora,Appel d'offres ouvert,2150000,,2025-03-18,2025-04-04,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-058,2025,Aménagement d'espaces de stockage agricole,Aménagement rural,Service des marchés,Zagora,Appel d'offres simplifié,5950000,5795426,2025-05-23,2025-07-04,Attribué,Smart Démo Systems,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-059,2025,Location de véhicules pour missions de terrain,Logistique,Service informatique,Boumalne-Dadès,Appel d'offres ouvert,900000,814463,2025-05-05,2025-05-22,Attribué,Build Démo Plus,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-060,2025,Aménagement de pistes rurales,Aménagement rural,Service développement agricole,Boumalne-Dadès,Appel d'offres simplifié,7050000,6384393,2025-07-09,2025-08-09,Clôturé,Sud Démo Informatique,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-061,2025,Étude de faisabilité d'un projet agricole,Études et assistance technique,Service des marchés,Ouarzazate,Appel d'offres ouvert,400000,,2025-11-19,2025-12-22,Annulé,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-062,2025,Réhabilitation d'un réseau d'irrigation,Irrigation,Service développement agricole,Agdz,Consultation,7625000,6734875,2025-08-09,2025-08-29,Clôturé,Green Démo Agriculture 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-063,2025,Aménagement d'espaces de stockage agricole,Aménagement rural,Service maintenance,Tinghir,Appel d'offres simplifié,2200000,1944906,2025-11-04,2025-12-16,Attribué,Tafilalet Démo Solutions 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-064,2025,Fourniture de matériel de pompage,Irrigation,Service irrigation,Tinghir,Appel d'offres simplifié,5300000,5233776,2025-06-04,2025-07-13,Clôturé,Green Démo Agriculture 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-065,2025,Location de véhicules pour missions de terrain,Logistique,Service informatique,Agdz,Appel d'offres simplifié,5800000,4849274,2025-10-16,2025-11-20,Clôturé,Infra Démo Sud,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-066,2025,Réparation et entretien de véhicules de service,Maintenance,Service développement agricole,Ouarzazate,Appel d'offres ouvert,3200000,2866163,2025-11-20,2025-12-30,Clôturé,Build Démo Plus,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-067,2025,Construction d'ouvrages de protection hydraulique,Travaux hydrauliques,Service irrigation,Skoura,Appel d'offres ouvert,3875000,3360605,2025-11-05,2025-12-05,Clôturé,Nomad Démo Transport,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-068,2025,Travaux d'amélioration de l'accès aux exploitations,Aménagement rural,Service développement agricole,Agdz,Appel d'offres ouvert,7800000,6307600,2025-07-07,2025-08-20,Clôturé,Terroir Démo Services 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-069,2025,Réparation et entretien de véhicules de service,Maintenance,Service logistique,Agdz,Appel d'offres simplifié,3950000,3909589,2025-01-10,2025-02-17,Clôturé,Nomad Démo Transport 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-070,2025,Fourniture de matériel de conditionnement,Équipements agricoles,Service développement agricole,Tinghir,Appel d'offres simplifié,5975000,,2025-09-18,2025-10-15,Annulé,,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-071,2025,Maintenance et support du parc informatique,Informatique,Service informatique,Skoura,Appel d'offres ouvert,5025000,4755673,2025-06-24,2025-07-24,Attribué,Sahara Démo Équipements 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-072,2025,Aménagement de pistes rurales,Aménagement rural,Service équipements,Agdz,Consultation,5775000,5058639,2025-06-04,2025-07-16,Attribué,Data Démo Maroc 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-073,2025,Fourniture de consommables et matériel logistique,Logistique,Service irrigation,Skoura,Appel d'offres simplifié,5225000,4436018,2025-06-20,2025-07-27,Clôturé,Smart Démo Systems 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-074,2025,Mission d'audit et d'accompagnement technique,Études et assistance technique,Service des marchés,Agdz,Appel d'offres ouvert,3825000,,2025-04-21,2025-05-27,Annulé,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-075,2025,Location de véhicules pour missions de terrain,Logistique,Service irrigation,Skoura,Appel d'offres ouvert,4300000,3677692,2025-05-01,2025-05-17,Clôturé,Data Démo Maroc,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-076,2025,Fourniture d'équipements de démonstration agricole,Équipements agricoles,Service maintenance,Agdz,Consultation,1150000,1046660,2025-03-06,2025-03-26,Clôturé,Tafilalet Démo Solutions 2,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-077,2025,Travaux d'amélioration de l'accès aux exploitations,Aménagement rural,Service informatique,Skoura,Consultation,250000,242313,2025-05-15,2025-06-07,Clôturé,Palmier Démo Logistique 2,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-078,2025,Travaux de captage et de conduite,Travaux hydrauliques,Service logistique,Agdz,Appel d'offres simplifié,3350000,2753149,2025-11-14,2025-12-21,Clôturé,Build Démo Plus,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-079,2025,Aménagement de pistes rurales,Aménagement rural,Service informatique,Skoura,Consultation,3925000,,2025-06-19,2025-07-13,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-080,2025,Maintenance préventive des installations,Maintenance,Service des marchés,Agdz,Consultation,3075000,2539922,2025-08-10,2025-09-18,Clôturé,Sahara Démo Équipements 2,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-081,2025,Entretien des bâtiments administratifs,Maintenance,Service irrigation,Boumalne-Dadès,Consultation,5775000,5392669,2025-01-10,2025-02-19,Attribué,Oasis Démo Ingénierie 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-082,2025,Maintenance d'équipements électromécaniques,Maintenance,Service maintenance,Zagora,Appel d'offres ouvert,4825000,4039638,2025-03-18,2025-04-30,Clôturé,Data Démo Maroc 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-083,2025,Réparation et entretien de véhicules de service,Maintenance,Service études,Boumalne-Dadès,Appel d'offres simplifié,1100000,1056692,2025-02-15,2025-04-01,Attribué,Smart Démo Systems,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-084,2025,Étude technique pour modernisation d'un périmètre irrigué,Études et assistance technique,Service maintenance,Ouarzazate,Appel d'offres simplifié,4850000,4050011,2025-09-04,2025-10-03,Clôturé,Oasis Démo Ingénierie 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-085,2025,Étude technique pour modernisation d'un périmètre irrigué,Études et assistance technique,Service informatique,Skoura,Appel d'offres ouvert,7950000,7261806,2025-10-18,2025-11-12,Attribué,Tafilalet Démo Solutions,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-086,2025,Réparation et entretien de véhicules de service,Maintenance,Service irrigation,Zagora,Appel d'offres ouvert,1625000,1450937,2025-01-10,2025-02-09,Attribué,Terroir Démo Services 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-087,2025,Aménagement d'espaces de stockage agricole,Aménagement rural,Service maintenance,Agdz,Consultation,1400000,1211986,2025-03-14,2025-04-18,Clôturé,Build Démo Plus 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-088,2025,Modernisation d'ouvrages d'irrigation,Irrigation,Service informatique,Skoura,Appel d'offres simplifié,4850000,4148309,2025-04-12,2025-04-30,Clôturé,Drâa Démo Travaux 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-089,2025,Entretien des bâtiments administratifs,Maintenance,Service irrigation,Skoura,Appel d'offres ouvert,8325000,6581923,2025-11-07,2025-12-12,Clôturé,Drâa Démo Travaux,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-090,2025,Renouvellement d'équipements réseau,Informatique,Service informatique,Ouarzazate,Consultation,3125000,2955047,2025-04-19,2025-05-10,Attribué,Palmier Démo Logistique,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-091,2025,Entretien des bâtiments administratifs,Maintenance,Service équipements,Agdz,Appel d'offres simplifié,475000,449300,2025-03-04,2025-04-09,Attribué,Sahara Démo Équipements 2,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-092,2025,Étude technique pour modernisation d'un périmètre irrigué,Études et assistance technique,Service équipements,Tinghir,Appel d'offres ouvert,6875000,6050080,2025-03-24,2025-04-21,Attribué,Tafilalet Démo Solutions,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-093,2025,Travaux de captage et de conduite,Travaux hydrauliques,Service informatique,Agdz,Appel d'offres ouvert,6000000,4756640,2025-11-17,2025-12-11,Clôturé,Drâa Démo Travaux,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-094,2025,Acquisition de mobilier de bureau,Logistique,Service irrigation,Skoura,Consultation,1175000,932707,2025-08-03,2025-09-15,Attribué,Palmier Démo Logistique,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-095,2025,Mission d'audit et d'accompagnement technique,Études et assistance technique,Service études,Skoura,Consultation,1600000,1542909,2025-10-14,2025-11-01,Clôturé,Drâa Démo Travaux 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-096,2025,Acquisition de mobilier de bureau,Logistique,Service informatique,Skoura,Appel d'offres simplifié,1350000,1241558,2025-08-13,2025-09-10,Attribué,Atlas Démo Services 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
